Cell_Id,Length(um),Width(um),mitochondrial_numbers,mitochondrial_overall_length(um),mitochondrial_each_segment_len(um)
0,12.64,4.55,9,20.31,"[9.44, 0.43, 0.86, 1.29, 0.86, 1.29, 2.15, 0.86, 3.15]"
1,12.62,4.06,4,18.59,"[1.0, 7.15, 0.43, 10.01]"
2,12.41,4.32,6,18.16,"[7.86, 1.57, 6.58, 1.0, 0.71, 0.43]"
3,10.23,3.75,3,15.87,"[2.86, 11.15, 1.86]"
4,10.62,4.25,4,15.44,"[5.58, 6.72, 2.43, 0.71]"
5,10.37,4.11,3,22.16,"[20.02, 1.0, 1.14]"
6,12.24,4.17,8,18.02,"[6.43, 0.29, 7.15, 0.57, 1.43, 0.29, 0.43, 1.43]"
7,13.86,4.17,4,13.01,"[1.72, 0.43, 2.57, 8.29]"
8,13.41,4.19,2,23.45,"[13.3, 10.15]"
9,14.15,4.13,3,25.6,"[11.58, 2.72, 11.3]"
10,15.85,3.9,16,64.78,"[27.03, 18.02, 0.29, 0.29, 0.43, 0.29, 3.0, 0.29, 0.43, 6.15, 1.0, 1.86, 0.29, 4.0, 1.14, 0.29]"
11,,,7,28.46,"[0.71, 14.16, 3.29, 7.44, 0.43, 1.43, 1.0]"
12,16.89,4.36,6,20.31,"[8.01, 1.0, 0.71, 1.0, 2.15, 7.44]"
13,13.62,3.97,6,13.3,"[0.43, 6.01, 0.71, 4.0, 0.71, 1.43]"
14,11.85,4.64,1,18.02,[18.02]
15,10.13,4.09,6,16.44,"[6.15, 1.86, 1.72, 2.86, 1.14, 2.72]"
16,12.75,3.89,4,22.74,"[9.44, 0.86, 2.0, 10.44]"
17,9.66,4.2,6,10.3,"[1.86, 4.0, 0.57, 0.29, 2.15, 1.43]"
18,12.66,3.85,6,14.3,"[2.29, 1.29, 0.57, 9.01, 0.86, 0.29]"
19,12.95,3.97,3,23.88,"[16.45, 7.01, 0.43]"
20,11.07,4.16,6,13.44,"[2.0, 1.14, 4.72, 3.29, 0.71, 1.57]"
21,15.65,4.41,5,15.59,"[4.72, 0.57, 1.14, 2.86, 6.29]"
22,7.33,3.86,1,10.3,[10.3]
23,8.41,3.75,2,13.3,"[7.15, 6.15]"
24,8.44,3.86,1,13.01,[13.01]
25,16.85,4.14,3,21.59,"[12.58, 8.72, 0.29]"
26,8.51,3.78,1,13.16,[13.16]
27,10.87,3.86,1,30.17,[30.17]
28,12.88,3.94,3,25.74,"[5.43, 14.87, 5.43]"
29,16.33,4.16,6,26.31,"[10.01, 5.15, 2.72, 5.86, 2.0, 0.57]"
30,9.14,3.96,5,9.3,"[4.58, 0.43, 0.43, 0.29, 3.57]"
31,10.6,4.21,2,17.59,"[13.58, 4.0]"
32,12.67,3.67,9,11.3,"[0.43, 1.0, 1.86, 1.86, 1.86, 0.57, 2.86, 0.57, 0.29]"
33,16.44,4.33,5,21.31,"[7.72, 4.0, 5.72, 1.29, 2.57]"
34,9.93,4.22,5,15.16,"[2.86, 1.57, 0.86, 9.15, 0.71]"
35,9.67,3.85,3,18.02,"[8.72, 8.87, 0.43]"
36,9.72,3.72,3,16.73,"[6.43, 7.72, 2.57]"
37,8.72,3.72,3,14.73,"[2.86, 0.29, 11.58]"
38,8.29,3.57,3,12.73,"[9.01, 2.43, 1.29]"
39,10.45,4.34,4,19.45,"[7.58, 0.86, 3.29, 7.72]"
40,8.79,3.96,3,12.16,"[8.01, 3.0, 1.14]"
